Core,filename,position_mm,core_depth_cm,depth_cm,Group,Guano_Zone,Guano_sum,min,max,median,mean,mean_2s_range,sed_rate,surface,validity,Egain,Eoffset,Fslope,Foffset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000004.spe,0.81,0,0,Unit 8,YAN FW,1,-59.07,-53.16,-55.96,-56,2.955,0.006349206,6.73,1,0.018351,-0.011556,0.00758,0.106728,16540.07031,1.25,0,0,44,0,12,13,298,255,1452,0,1166,65,37,423,55695,94,0,165,58,0,0,37,9,118,963,0,439,0,0,0,270,494,128,142,66,38,8,0,0,66,235,0,0,10430,3465
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000005.spe,1.01,0.02,0.02,Unit 8,YAN FW,1,-55.86,-50.04,-52.81,-52.85,2.91,0.006349206,6.68,1,0.018351,-0.011556,0.00758,0.106728,18364.04688,1.33,0,19,42,0,39,10,230,243,1336,0,1124,65,6,452,63136,234,0,162,81,0,29,89,0,142,1414,11,473,0,0,4,238,425,154,137,77,99,24,0,0,142,338,0,0,11834,4295
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000006.spe,1.21,0.04,0.04,Unit 8,YAN FW,1,-52.76,-46.7,-49.67,-49.7,3.03,0.006349206,6.65,1,0.018351,-0.011556,0.00758,Core,23229.83008,1.45,14,21,73,27,48,9,212,329,2081,0,1783,105,50,628,92880,148,0,160,99,0,0,7,0,238,1633,0,650,10,0,0,246,509,96,158,151,125,139,44,0,388,527,14,7.79E+14,12685,4654
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000007.spe,1.41,0.06,0.06,Unit 8,YAN FW,1,-49.81,-43.34,-46.53,-46.55,3.235,0.006349206,6.62,1,0.018351,-0.011556,0.00758,0.106728,25651.91016,1.31,19,0,76,8,53,0,186,429,2506,0,2163,116,57,791,107771,240,0,206,174,61,0,16,0,388,1879,40,574,0,0,13,262,673,100,143,113,182,174,0,29,617,599,0,9.03E+13,13141,4701
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000008.spe,1.61,0.08,0.08,Unit 8,YAN FW,1,-46.93,-39.85,-43.4,-43.4,3.54,0.006369427,6.6,1,0.018351,-0.011556,0.00758,0.106728,27061.84375,1.34,21,6,79,12,32,4,154,479,2594,0,2245,108,78,860,118154,0,0,158,131,70,0,0,0,311,1861,0,577,0,0,44,270,688,100,192,101,55,77,0,0,673,748,0,0,13242,4720
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000009.spe,1.81,0.1,0.1,Unit 8,YAN FW,1,-44.01,-36.32,-40.29,-40.26,3.845,0.006349206,6.57,1,0.018351,-0.011556,0.00758,0.106728,28196.38672,1.43,0,0,83,17,47,9,163,540,2594,0,2495,109,82,927,126397,258,0,236,145,0,0,13,0,291,1868,0,613,0,0,0,293,636,77,206,138,124,131,142,93,681,640,6,0,13263,4897
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000010.spe,2.01,0.12,0.12,Unit 8,YAN FW,1,-41.18,-32.73,-37.14,-37.11,4.225,0.006349206,6.55,1,0.018351,-0.011556,0.00758,0.106728,27998.99219,1.51,0,0,84,15,15,0,124,448,2754,0,2580,161,53,908,123085,247,0,228,275,125,0,33,0,306,1824,0,457,6,0,22,327,657,81,228,104,188,189,31,57,770,566,0,1.04E+15,13141,4825
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000011.spe,2.21,0.14,0.14,Unit 8,YAN FW,1,-38.33,-29.12,-34.01,-33.96,4.605,0.006349206,6.54,1,0.018351,-0.011556,0.00758,0.106728,27863.80273,1.52,14,34,58,10,44,0,103,570,2807,0,2661,154,56,817,122619,167,0,193,171,11,0,44,0,270,1804,0,535,0,0,14,338,710,170,172,58,211,162,87,141,692,717,11,0,13360,4737
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000012.spe,2.41,0.16,0.16,Unit 8,YAN FW,1,-35.48,-25.44,-30.89,-30.81,5.02,0.006349206,6.54,1,0.018351,-0.011556,0.00758,0.106728,28052.39063,1.41,27,20,113,0,46,13,109,531,2826,0,2591,132,75,970,124945,68,0,221,245,0,0,0,45,361,1906,0,554,0,0,0,298,653,131,208,103,81,82,45,141,721,716,9,8.55E+14,13307,4611
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000013.spe,2.61,0.18,0.18,Unit 8,YAN FW,1,-32.76,-21.76,-27.78,-27.66,5.5,0.006369427,6.54,1,0.018351,-0.011556,0.00758,0.106728,27797.90625,1.46,0,13,83,7,19,8,125,468,2823,0,2437,124,58,884,122868,24,0,292,239,23,0,76,79,348,1699,0,464,0,0,11,284,692,146,223,169,156,209,0,75,726,807,5,0,13000,4520
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000014.spe,2.81,0.2,0.2,Unit 8,YAN FW,1,-29.94,-18.08,-24.65,-24.52,5.93,0.006349206,6.54,1,0.018351,-0.011556,0.00758,0.106728,27932.59375,1.44,16,16,64,4,36,0,99,517,2841,0,2438,177,88,903,124873,40,0,185,104,5,0,0,27,368,1706,0,630,0,0,30,297,644,146,253,183,156,167,13,20,792,722,0,0,13345,4591
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000015.spe,3.01,0.22,0.22,Unit 8,YAN FW,1,-27.14,-14.36,-21.53,-21.37,6.39,0.006349206,6.54,1,0.018351,-0.011556,0.00758,0.106728,27462.32227,1.49,31,32,87,12,56,17,103,479,2774,0,2481,128,92,881,120417,136,0,195,146,0,110,39,0,361,1846,0,469,0,0,6,327,657,147,219,154,196,27,68,0,795,672,26,8.17E+14,13225,4856
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000016.spe,3.21,0.24,0.24,Unit 8,YAN FW,1,-24.35,-10.67,-18.39,-18.22,6.84,0.006349206,6.54,1,0.018351,-0.011556,0.00758,0.106728,26558.4668,1.31,19,9,92,6,33,7,99,453,2644,0,2315,114,57,713,112434,268,0,276,123,28,41,66,0,268,1767,0,639,0,0,0,257,687,126,272,94,216,41,0,62,667,560,6,0,13595,4843
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000017.spe,3.41,0.26,0.26,Unit 8,YAN FW,1,-21.58,-7,-15.25,-15.07,7.29,0.006349206,6.55,1,0.018351,-0.011556,0.00758,0.106728,24369.67773,1.38,8,20,46,24,48,13,139,306,1675,0,1666,109,63,581,94215,206,0,135,118,110,0,42,120,268,1719,0,498,14,0,29,313,605,34,234,105,122,5,52,100,396,472,5,0,14336,5217
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000018.spe,3.61,0.28,0.28,Unit 8,YAN FW,1,-18.77,-3.3,-12.13,-11.92,7.735,0.006349206,6.55,1,0.018351,-0.011556,0.00758,0.106728,25504.2207,1.4,26,10,53,0,16,0,107,285,1951,0,1751,105,71,623,98188,280,0,122,212,0,0,60,73,358,1851,0,607,0,0,18,361,627,119,190,68,53,97,0,0,466,427,15,0,14589,5365
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000019.spe,3.81,0.3,0.3,Unit 8,YAN FW,1,-16.02,0.4,-8.99,-8.77,8.21,0.006369427,6.55,1,0.018351,-0.011556,0.00758,0.106728,28716.05664,1.43,7,0,41,0,10,0,91,412,2651,0,2307,175,51,774,121884,149,0,170,148,0,0,0,14,363,2029,17,671,0,0,11,381,726,134,171,27,158,94,36,76,675,658,23,1.35E+15,14762,5196
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000020.spe,4.01,0.32,0.32,Unit 8,YAN FW,1,-13.3,4.15,-5.86,-5.63,8.725,0.006349206,6.56,1,0.018351,-0.011556,0.00758,0.106728,30167.38281,1.47,0,12,78,7,42,0,117,510,2855,18,2624,141,83,937,134238,213,0,248,189,0,0,96,0,444,2097,0,603,0,0,68,340,636,136,209,149,200,192,0,26,858,779,0,7.86E+14,14524,5063
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000021.spe,4.21,0.34,0.34,Unit 8,YAN FW,1,-10.49,7.85,-2.74,-2.48,9.17,0.006349206,6.56,1,0.018351,-0.011556,0.00758,0.106728,30490.27148,1.39,0,14,61,24,68,0,127,457,2811,31,2703,135,103,1060,139284,88,0,270,252,157,52,40,0,398,2042,0,594,0,0,35,273,707,0,147,149,180,95,0,0,1012,843,0,1.73E+15,14109,5017
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000022.spe,4.41,0.36,0.36,Unit 8,YAN FW,1,-7.69,11.59,0.39,0.67,9.64,0.006349206,6.57,1,0.018351,-0.011556,0.00758,0.106728,30601.26563,1.48,0,0,59,0,56,0,68,460,2610,6,2597,133,77,927,140187,87,0,244,214,0,0,7,0,498,1884,59,676,0,0,44,255,668,176,245,152,235,223,0,141,1045,840,25,0,13865,4985
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000023.spe,4.61,0.38,0.38,Unit 8,YAN FW,1,-4.88,15.29,3.53,3.82,10.085,0.006349206,6.57,1,0.018351,-0.011556,0.00758,0.106728,30546.66211,1.49,17,14,74,18,52,0,102,518,2749,0,2504,116,83,951,136735,192,0,277,158,131,0,35,13,412,2107,0,616,0,0,30,246,774,75,263,104,153,194,0,194,985,716,7,0,14013,5066
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000024.spe,4.81,0.4,0.4,Unit 8,YAN FW,1,-2.08,19,6.66,6.97,10.54,0.006369427,6.58,1,0.018351,-0.011556,0.00758,0.106728,30148.98828,1.33,18,0,65,15,64,9,115,467,2957,0,2492,160,141,881,134367,64,0,224,166,115,0,0,23,441,2016,0,607,15,0,38,304,728,124,246,176,149,176,0,32,963,760,15,1.41E+15,14469,5127
